pere	mere	poids
A	1	19.3
A	1	21.9
A	2	22.7
A	2	24.6
A	3	21.0
A	3	19.1
B	4	19.3
B	4	21.9
B	5	20.6
B	5	17.9
B	6	21.0
B	6	19.3
C	7	23.3
C	7	23.6
C	8	17.4
C	8	19.6
C	9	21.8
C	9	21.1
D	10	17.1
D	10	21.2
D	11	18.5
D	11	19.3
D	12	18.8
D	12	22.1
E	13	22.2
E	13	20.7
E	14	21.5
E	14	21.7
E	15	17.9
E	15	17.4
F	16	18.7
F	16	21.6
F	17	17.3
F	17	15.7
F	18	16.5
F	18	16.5
