Time	"Time Code"	"Country Name"	"Country Code"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD]"	"Access to electricity (% of population) [EG.ELC.ACCS.ZS]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]"	"Industry (including construction), value added per worker (constant 2010 US$) [NV.IND.EMPL.KD]"	"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$) [NV.AGR.EMPL.KD]"	"Poverty gap at national poverty lines (%) [SI.POV.NAGP]"	"International tourism, receipts (% of total exports) [ST.INT.RCPT.XP.ZS]"	"Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]"	"Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]"	"Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]"	"Urban population (% of total population) [SP.URB.TOTL.IN.ZS]"	"Population, total [SP.POP.TOTL]"
2014	"YR2014"	"Bolivia"	"BOL"	""	"0.28913953520616"	"90.038729"	"71.9931467732724"	"3.84375722818145"	"7136.54538825304"	"1536.90557069709"	"16.9"	"5.32584890615318"	"43.293087488157"	"41.9713815120336"	""	"68.047"	"10706517"
2014	"YR2014"	"Bosnia and Herzegovina"	"BIH"	""	"0.558457900060887"	"100"	"63.2735148514851"	"2.90546899176167"	"13130.4432530294"	"6088.90875454908"	""	"11.9707255671719"	"33.9801401454966"	"56.6337301722194"	""	"46.84"	"3482104"
2014	"YR2014"	"Botswana"	"BWA"	""	"0.19701774221329"	"56.126823425293"	"99.956766104626"	"2.84890352119996"	"33364.308144302"	"1553.99368174807"	""	"6.53909148943132"	"60.7101501410319"	"53.9518647660885"	""	"66.368"	"2088614"
2014	"YR2014"	"Brazil"	"BRA"	""	"0.159730473693793"	"99.650247"	"24.253239222485"	"-0.352479217688355"	"24952.2433784844"	"10709.496382203"	""	"2.80425399900238"	"11.0119409152591"	"13.6734606297264"	""	"85.492"	"202763735"
2014	"YR2014"	"British Virgin Islands"	"VGB"	""	""	"99.3164596557617"	""	""	""	""	""	""	""	""	""	"46.216"	"28989"
2014	"YR2014"	"Brunei Darussalam"	"BRN"	""	"0.275174781948684"	"100"	"99.9556147359077"	"-3.62420517458962"	"244369.744901898"	"104618.110645646"	""	"0.677052870150109"	"68.7189571447036"	"30.6504920696468"	""	"76.332"	"409769"
2014	"YR2014"	"Bulgaria"	"BGR"	""	"0.334864510077664"	"100"	"50.4144735440152"	"2.41800281989239"	"14362.7424520872"	"10177.4614105785"	""	"12.2387117658771"	"64.9179760255982"	"65.8594011175319"	""	"73.651"	"7223938"
2014	"YR2014"	"Burkina Faso"	"BFA"	""	"0.0968996212108265"	"19.2"	""	"1.28209364611807"	"1236.0079837018"	"1880.03905011779"	"9.7"	"5.70455412447053"	"22.2616385421324"	"24.3633700940981"	""	"26.934"	"17586017"
2014	"YR2014"	"Burundi"	"BDI"	""	"0.0550472148708506"	"7"	""	"1.02152974753199"	"3627.89804468576"	"217.877146850329"	"25.1"	"2.00928220366865"	"8.70000207885354"	"34.3000081959398"	""	"11.776"	"9844297"
2014	"YR2014"	"Cabo Verde"	"CPV"	""	"0.149005141877341"	"86.1199188232422"	""	"-0.654704681340107"	"6742.71557983947"	"4937.65346596366"	""	"50.6765198253176"	"40.3611396874873"	"60.6853000599186"	""	"63.81"	"518269"
2014	"YR2014"	"Cambodia"	"KHM"	""	"0.132597516864542"	"56.1"	"38.8634879163945"	"5.40178261075788"	"1729.61585749377"	"1537.8310250576"	""	"26.8772546564591"	"62.6034741724131"	"67.0087581378565"	""	"21.799"	"15274503"
2014	"YR2014"	"Cameroon"	"CMR"	""	"0.0932417041844897"	"56.8"	"24.6749024707412"	"3.06183608083622"	"6543.73571590879"	"987.853614474164"	"14.4"	"7.33353001169928"	"24.9380741891878"	"30.1267202884318"	""	"53.976"	"22681858"
2014	"YR2014"	"Canada"	"CAN"	""	"0.332100773705034"	"100"	"20.7631254341213"	"1.83945984412242"	"134072.330375714"	"79405.7072467681"	""	"3.66006387712416"	"31.6020158980595"	"32.5403732325719"	""	"81.218"	"35437435"
2014	"YR2014"	"Cayman Islands"	"CYM"	""	"0.134129461067951"	"100"	""	"1.10917780858797"	""	""	""	""	""	""	""	"100"	"60848"
2014	"YR2014"	"Central African Republic"	"CAF"	""	"0.0942014571384553"	"21.3389186859131"	""	"-0.246787531343358"	"1962.38749219987"	"377.609788413356"	""	""	"16.5663402207996"	"25.5618475639734"	""	"39.959"	"4464175"
2014	"YR2014"	"Chad"	"TCD"	""	"0.0245071915572556"	"8.51028728485107"	""	"3.43301682181134"	"12110.2565187305"	"1487.38052804683"	""	""	"34.1613628875217"	"42.4651602793754"	""	"22.372"	"13663559"
2014	"YR2014"	"Channel Islands"	"CHI"	""	""	""	""	""	""	""	""	""	""	""	""	"30.995"	"164100"
2014	"YR2014"	"Chile"	"CHL"	""	"0.204025649100031"	"100"	"57.1863734175446"	"0.692556386595726"	"45971.1115251323"	"10985.8416137236"	""	"3.73429704705418"	"33.1107497213876"	"32.1618381164458"	""	"87.303"	"17758959"
2014	"YR2014"	"China"	"CHN"	""	"0.561035392241376"	"100"	"74.8228873696222"	"6.75762201999564"	"17936.1903211321"	"3024.80908466598"	""	"1.78829687302574"	"23.5937400657372"	"21.4713066389347"	""	"54.259"	"1364270000"
2014	"YR2014"	"Colombia"	"COL"	""	"0.131468679514787"	"97.790938"	"25.9616893212192"	"3.67601244808095"	"23835.3361022969"	"5683.86160394777"	"10.8"	"7.62939872408356"	"16.6347491096509"	"20.8527689627646"	""	"79.415"	"46969209"
2014	"YR2014"	"Comoros"	"COM"	""	"0.0759912871893595"	"72.4145202636719"	""	"-0.304632304831813"	"4427.21275050235"	"2677.89013104398"	""	""	"9.67647217726497"	"29.5593510181742"	""	"28.338"	"759390"
2014	"YR2014"	"Congo, Dem. Rep."	"COD"	""	"0.0763609132506353"	"13.5"	"0.124434389140271"	"5.8958860348082"	"5530.49076482319"	"320.08619146462"	""	"0.359290987933954"	"36.8321888509167"	"41.8579612752672"	""	"42.18"	"73767447"
2014	"YR2014"	"Congo, Rep."	"COG"	""	"0.108573502252391"	"52.6803169250488"	"45.2873563218391"	"4.20534965928347"	"21981.1718316945"	"955.720260987021"	""	"0.598410493461925"	"72.9867503393234"	"70.2526329124687"	""	"65.085"	"4736974"
2014	"YR2014"	"Costa Rica"	"CRI"	""	"0.107390617322584"	"99.359291"	"10.2084760692963"	"2.3650208681438"	"23918.9332454967"	"11107.6131962812"	"8.8"	"18.9413096506465"	"32.2550051635718"	"34.7905430592093"	""	"75.941"	"4795396"
